Class,BaseType,DropLevel,Rarity,Height,Width,Itemlevel,Sockets,LinkedSockets,SocketGroup,Quality,Corrupted,Identified,SubGroup A,SubGroup B,SubGroup Tier,Game:Strength,Game:Dexterity,Game:Intelligence,Game:Damage From,Game:Damage To,Game:APS,Game:DPS,Game:Crit from,Game:Crit to,Game:Implicit 1,Game:Implicit 2,Game:Armour,Game:Evasion,Game:Energy Shield,Game:Block
Currency,Albino Rhoa Feather,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Currency,Mirror of Kalandra,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,
Currency,Exalted Orb,1,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,
Currency,Divine Orb,1,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,
Currency,Chaos Orb,12,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Vaal Orb,1,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Regal Orb,1,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Gemcutter's Prism,1,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Master Cartographer's Sextant,68,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Journeyman Cartographer's Sextant,68,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Apprentice Cartographer's Sextant,68,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Silver Coin,1,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Orb of Regret,2,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Blessed Orb,35,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Glassblower's Bauble,1,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Orb of Alchemy,2,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Orb of Fusing,1,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Cartographer's Chisel,52,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Orb of Scouring,1,,1,1,,,,,,,,,,4,,,,,,,,,,,,,,,
Currency,Orb of Alteration,2,,1,1,,,,,,,,,,5,,,,,,,,,,,,,,,
Currency,Orb of Chance,2,,1,1,,,,,,,,,,5,,,,,,,,,,,,,,,
Currency,Jeweller's Orb,1,,1,1,,,,,,,,,,5,,,,,,,,,,,,,,,
Currency,Chromatic Orb,1,,1,1,,,,,,,,,,5,,,,,,,,,,,,,,,
Currency,Scroll of Wisdom,1,,1,1,,,,,,,,,,7,,,,,,,,,,,,,,,
Currency,Portal Scroll,1,,1,1,,,,,,,,,,7,,,,,,,,,,,,,,,
Currency,Armourer's Scrap,1,,1,1,,,,,,,,,,6,,,,,,,,,,,,,,,
Currency,Blacksmith's Whetstone,1,,1,1,,,,,,,,,,6,,,,,,,,,,,,,,,
Currency,Orb of Augmentation,1,,1,1,,,,,,,,,,6,,,,,,,,,,,,,,,
Currency,Orb of Transmutation,1,,1,1,,,,,,,,,,6,,,,,,,,,,,,,,,
Currency,Orb of Annulment,1,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,
Currency,Orb of Binding,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Orb of Horizons,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Harbinger's Orb,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Binding Shard,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Harbinger's Shard,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Engineer's Orb,1,,1,1,,,,,,,,habi,,3,,,,,,,,,,,,,,,
Currency,Ancient Orb,1,,1,1,,,,,,,,habi,,2,,,,,,,,,,,,,,,
Currency,Annulment Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Horizon Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Engineer's Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Ancient Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Chaos Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Mirror Shard,1,,1,1,,,,,,,,habi,,1,,,,,,,,,,,,,,,
Currency,Exalted Shard,1,,1,1,,,,,,,,habi,,2,,,,,,,,,,,,,,,
Currency,Regal Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Alchemy Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Transmutation Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Alteration Shard,1,,1,1,,,,,,,,habi,,4,,,,,,,,,,,,,,,
Currency,Scroll Fragment,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,Eternal Orb,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
One Hand Axes,Rusted Hatchet,2,NMR,3,1,,3,,,0,,,,,,12,6,,5,9,1.5,10.5,0.05,,,,,,,
One Hand Axes,Jade Hatchet,6,NMRU,3,2,,3,,,0,,,,,,21,10,,8,13,1.4,14.7,0.05,,,,,,,
One Hand Axes,Boarding Axe,11,NMR,3,2,,3,,,0,,,,,,28,19,,9,17,1.5,19.5,0.05,,,,,,,
One Hand Axes,Cleaver,16,NMRU,3,2,,3,,,0,,,,,,48,14,,11,33,1.2,26.4,0.05,,,,,,,
One Hand Axes,Broad Axe,21,NMR,3,2,,3,,,0,,,,,,54,25,,17,31,1.3,31.2,0.05,,,,,,,
One Hand Axes,Arming Axe,25,NMR,3,2,,3,,,0,,,,,,58,33,,12,36,1.4,33.6,0.05,,,,,,,
One Hand Axes,Decorative Axe,29,NMRU,3,2,,3,,,0,,,,,,80,23,,23,43,1.2,39.6,0.05,,,,,,,
One Hand Axes,Spectral Axe,33,NMR,3,2,,3,,,0,,,,,,85,37,,26,43,1.3,44.85,0.05,,,,,,,
One Hand Axes,Etched Hatchet,35,NMR,3,2,,3,,,0,,,,,,93,43,,24,42,1.35,44.55,0.05,,8% increased Physical Damage,,,,,
One Hand Axes,Jasper Axe,36,NMR,3,2,,3,,,0,,,,,,86,40,,28,43,1.3,46.15,0.05,,,,,,,
One Hand Axes,Tomahawk,39,NMRU,3,2,,3,,,0,,,,,,81,56,,22,41,1.5,47.25,0.05,,,,,,,
One Hand Axes,Wrist Chopper,42,NMR,3,2,,3,,,0,,,,,,112,32,,23,68,1.2,54.6,0.05,,,,,,,
One Hand Axes,War Axe,45,NMR,3,2,,3,,,0,,,,,,106,49,,30,55,1.3,55.25,0.05,,,,,,,
One Hand Axes,Chest Splitter,48,NMR,3,2,,3,,,0,,,,,,105,60,,20,61,1.4,56.7,0.05,,,,,,,
One Hand Axes,Ceremonial Axe,51,NMR,3,2,,3,,,0,,,,,,134,39,,37,69,1.2,63.6,0.05,,,,,,,
One Hand Axes,Wraith Axe,54,NMR,3,2,,3,,,0,,,,,,134,59,,39,65,1.3,67.6,0.05,,,,,,,
One Hand Axes,Engraved Hatchet,56,NMR,3,2,,3,,,0,,,,,,143,66,,35,63,1.35,66.15,0.05,,8% increased Physical Damage,,,,,
One Hand Axes,Karui Axe,57,NMR,3,2,,3,,,0,,,,,,132,62,,41,64,1.3,68.25,0.05,,,,,,,
One Hand Axes,Siege Axe,59,NMRU,3,2,,3,,,0,,,,,,119,82,,32,59,1.5,68.25,0.05,,,,,,,
